Product URL,Product Name,Brand / Sub-brand,Sale Price,MRP / Original Price,discount_amount,discount_pct
https://www.adidas.co.in/sl-72-rs-shoes/JI1282.html,SL 72 RS Shoes,Men Originals,5999.5,9999,3999.5,40
https://www.adidas.co.in/clear-factor-shoes/EX2038.html,CLEAR FACTOR SHOES,Men Performance,1899.5,3799,1899.5,50
https://www.adidas.co.in/handball-spezial-shoes/JR2121.html,Handball Spezial Shoes,Men Originals,10999,10999,0,0
https://www.adidas.co.in/adizero-evo-sl-shoes/KI6901.html,Adizero EVO SL Shoes,Men Performance,15999,15999,0,0
https://www.adidas.co.in/hurtle-flip-flops/GA0994.html,HURTLE FLIP-FLOPS,Men Sportswear,649.5,1299,649.5,50
https://www.adidas.co.in/seize-the-street-shoes/GA1136.html,SEIZE THE STREET SHOES,Men Performance,2399.5,4799,2399.5,50
https://www.adidas.co.in/mistico--flip-flops--/GA1050.html,MISTICO  FLIP-FLOPS,Men Sportswear,779.5,1299,519.5,39.99
https://www.adidas.co.in/basenew-shoes/IU6404.html,BASENEW SHOES,Men Performance,2149.5,4299,2149.5,50
https://www.adidas.co.in/heather-low-shoes/JJ5305.html,Heather Low Shoes,Sportswear,2399.5,4799,2399.5,50
https://www.adidas.co.in/copa-pure-iv-club-firm-ground-multi-ground-football-boots/JR6183.html,COPA PURE IV CLUB Firm Ground/Multi Ground Football Boots,Performance,5999,5999,0,0
https://www.adidas.co.in/cloudfoam-cuxxion-rapidfit-shoes/HP3428.html,CLOUDFOAM CUXXION RAPIDFIT SHOES,Men Sportswear,7999,7999,0,0
https://www.adidas.co.in/adi-rudh-shoes/EY2980.html,ADI RUDH SHOES,Men Performance,2299.5,4599,2299.5,50
https://www.adidas.co.in/jolt-runner-shoes/IU6319.html,JOLT RUNNER SHOES,Men Performance,2499.5,4999,2499.5,50
https://www.adidas.co.in/jauntza-shoes/IQ9796.html,JAUNTZA SHOES,Men Sportswear,2159.5,3599,1439.5,40
https://www.adidas.co.in/vac-run-shoes/IU6698.html,VAC-RUN SHOES,Men Performance,2499.5,4999,2499.5,50
https://www.adidas.co.in/core-linear-stunicon-shoes/EY2981.html,CORE LINEAR STUNICON SHOES,Men Performance,2499.5,4999,2499.5,50
https://www.adidas.co.in/rayrun-shoes/IQ9110.html,RAYRUN SHOES,Men Performance,2879.5,4799,1919.5,40
https://www.adidas.co.in/italia-70s-shoes/JS1324.html,Italia 70s Shoes,Men Originals,8999,8999,0,0
https://www.adidas.co.in/court-rage-shoes/GA0943.html,COURT RAGE SHOES,Men Sportswear,2499.5,4999,2499.5,50
https://www.adidas.co.in/expereo-shoes/IU6276.html,EXPEREO SHOES,Men Performance,2799.5,5599,2799.5,50
https://www.adidas.co.in/handball-spezial-shoes/IF7087.html,Handball Spezial Shoes,Men Originals,10999,10999,0,0
https://www.adidas.co.in/ultra-response-shoes/IQ9174.html,ULTRA RESPONSE SHOES,Men Performance,2579.5,4299,1719.5,40
https://www.adidas.co.in/step-n-pace-shoes/IQ9157.html,STEP N PACE SHOES,Men Performance,3179.5,5299,2119.5,40
https://www.adidas.co.in/samba-og-shoes/IH6843.html,SAMBA OG SHOES,Men Originals,8399.5,11999,3599.5,30
https://www.adidas.co.in/handball-spezial-shoes/BD7632.html,Handball Spezial Shoes,Men Originals,7699.5,10999,3299.5,30
https://www.adidas.co.in/amalgo-shoes/IU6241.html,AMALGO SHOES,Men Performance,2649.5,5299,2649.5,50
https://www.adidas.co.in/supernova-rise-3-running-shoes/JQ8502.html,SUPERNOVA RISE 3 RUNNING SHOES,Men Performance,10499.5,14999,4499.5,30
https://www.adidas.co.in/handball-spezial-shoes/JR3668.html,Handball Spezial Shoes,Men Originals,10999,10999,0,0
https://www.adidas.co.in/jaysaw-reflective-shoes/GA1131.html,JAYSAW REFLECTIVE SHOES,Men Performance,2299.5,4599,2299.5,50
https://www.adidas.co.in/f50-club-firm-ground-multi-ground-football-boots/JR9053.html,F50 CLUB Firm Ground / Multi Ground Football Boots,Performance,5999,5999,0,0
https://www.adidas.co.in/ultra-response-shoes/IQ9176.html,ULTRA RESPONSE SHOES,Men Performance,2579.5,4299,1719.5,40
https://www.adidas.co.in/adidas-stridx-shoes/JJ5639.html,adidas Stridx Shoes,Men Performance,2399.5,4799,2399.5,50
https://www.adidas.co.in/grand-court-3.0-shoes/IH1476.html,GRAND COURT 3.0 SHOES,Men Sportswear,3999.5,7999,3999.5,50
https://www.adidas.co.in/adilette-lite-slides/FU7592.html,Adilette Lite Slides,Originals,2099.5,2999,899.5,29.99
https://www.adidas.co.in/laufen-speed-shoes/IU6324.html,LAUFEN SPEED SHOES,Men Performance,2649.5,5299,2649.5,50
https://www.adidas.co.in/adilette-aqua-slides/F35543.html,Adilette Aqua Slides,Sportswear,2499,2499,0,0
https://www.adidas.co.in/jolt-runner-shoes/IU6320.html,JOLT RUNNER SHOES,Men Performance,2499.5,4999,2499.5,50
https://www.adidas.co.in/grand-court-3.0-shoes/IH1472.html,GRAND COURT 3.0 SHOES,Men Sportswear,3999.5,7999,3999.5,50
https://www.adidas.co.in/zapid-shoes/IU6378.html,ZAPID SHOES,Men Performance,2999.5,4999,1999.5,40
https://www.adidas.co.in/basenew-shoes/IU6403.html,BASENEW SHOES,Men Performance,2149.5,4299,2149.5,50
https://www.adidas.co.in/cyberrun-shoes/IQ8896.html,CYBERRUN SHOES,Men Performance,2999.5,4999,1999.5,40
https://www.adidas.co.in/zenith-flip-flops/IU5993.html,ZENITH FLIP-FLOPS,Men Sportswear,799.5,1599,799.5,50
https://www.adidas.co.in/zapid-shoes/IU6377.html,ZAPID SHOES,Men Performance,2499.5,4999,2499.5,50
https://www.adidas.co.in/laufen-speed-running-shoes/JJ5792.html,LAUFEN Speed Running Shoes,Men Performance,2799.5,5599,2799.5,50
https://www.adidas.co.in/pomazor-shoes/IQ9816.html,POMAZOR SHOES,Men Sportswear,1799.5,3599,1799.5,50
https://www.adidas.co.in/clear-factor-shoes/EX2039.html,CLEAR FACTOR SHOES,Men Performance,1799.5,3599,1799.5,50
https://www.adidas.co.in/ultraboost-5-shoes/ID8812.html,Ultraboost 5 Shoes,Men Performance,17999,17999,0,0
https://www.adidas.co.in/zapcore-shoes/IU6705.html,ZAPCORE SHOES,Men Performance,2399.5,4799,2399.5,50
https://www.adidas.co.in/samba-og-shoes/JR0890.html,Samba OG Shoes,Men Originals,11999,11999,0,0
https://www.adidas.co.in/japan-shoes/KK3439.html,JAPAN SHOES,Originals,12999,12999,0,0
https://www.adidas.co.in/mistico--flip-flops--/GA1047.html,MISTICO  FLIP-FLOPS,Men Sportswear,649.5,1299,649.5,50
https://www.adidas.co.in/runfalcon-5-running-shoes/IH7758.html,Runfalcon 5 Running Shoes,Men Performance,4619.5,6599,1979.5,30
https://www.adidas.co.in/ultraboost-20-shoes/EG0691.html,Ultraboost 20 Shoes,Men Performance,9499.5,18999,9499.5,50
https://www.adidas.co.in/vl-court-3.0-shoes/JR8633.html,VL Court 3.0 Shoes,Men Sportswear,4199.5,6999,2799.5,40
https://www.adidas.co.in/yompzee-flip-flops/KK1703.html,Yompzee Flip Flops,Men Sportswear,1399.5,1999,599.5,29.99
https://www.adidas.co.in/cloudfoam-flex-laces-shoes/HQ4853.html,CLOUDFOAM FLEX LACES SHOES,Men Sportswear,4999,4999,0,0
https://www.adidas.co.in/lightblaze-shoes/JQ7199.html,Lightblaze Shoes,Men Sportswear,6999.5,9999,2999.5,30
https://www.adidas.co.in/samba-og-shoes/JR0883.html,Samba OG Shoes,Men Originals,7699.5,10999,3299.5,30
https://www.adidas.co.in/adilette-comfort-2.0-slides/HQ2471.html,ADILETTE COMFORT 2.0 SLIDES,Sportswear,2499.5,4999,2499.5,50
https://www.adidas.co.in/copa-pure-iv-league-firm-ground-football-boots/JQ0482.html,COPA PURE IV LEAGUE Firm Ground Football Boots,Performance,8999,8999,0,0
https://www.adidas.co.in/cloudfoam-flex-rapidfit-shoes/KK3482.html,CLOUDFOAM FLEX RAPIDFIT SHOES,Men Sportswear,4899.5,6999,2099.5,30
https://www.adidas.co.in/adilette-lite-slides/FU8299.html,Adilette Lite Slides,Originals,2099.5,2999,899.5,29.99
https://www.adidas.co.in/supernova-ease-2-m-running-shoes/JQ4336.html,SUPERNOVA EASE 2 M RUNNING SHOES,Men Performance,4999.5,9999,4999.5,50
https://www.adidas.co.in/sl-72-rs-shoes/IG2132.html,SL 72 RS Shoes,Originals,5999.5,9999,3999.5,40
https://www.adidas.co.in/astoundrun-shoes/IU6247.html,ASTOUNDRUN SHOES,Men Performance,2149.5,4299,2149.5,50
https://www.adidas.co.in/samba-xlg-shoes/IE1377.html,Samba XLG Shoes,Originals,11999,11999,0,0
https://www.adidas.co.in/adilette-comfort-mer-slides/KI6109.html,adilette Comfort MER Slides,Performance,5599,5599,0,0
https://www.adidas.co.in/samba-og-shoes/IH6820.html,SAMBA OG SHOES,Men Originals,10999,10999,0,0
https://www.adidas.co.in/sl-72-rs-shoes/JS0746.html,SL 72 RS Shoes,Men Originals,4999.5,9999,4999.5,50
https://www.adidas.co.in/samba-og-shoes/IH6818.html,SAMBA OG SHOES,Men Originals,8399.5,11999,3599.5,30
https://www.adidas.co.in/duvento-shoes/IQ8910.html,DUVENTO SHOES,Men Performance,2649.5,5299,2649.5,50
https://www.adidas.co.in/lightblaze-shoes/HQ9344.html,LIGHTBLAZE SHOES,Men Sportswear,6999.5,9999,2999.5,30
https://www.adidas.co.in/japan-shoes/KK3438.html,JAPAN SHOES,Originals,12999,12999,0,0
https://www.adidas.co.in/barreda-decode-shoes/JI2318.html,Barreda Decode Shoes,Men Sportswear,6299.5,8999,2699.5,30
https://www.adidas.co.in/samba-og-shoes/JR0881.html,Samba OG Shoes,Men Originals,10999,10999,0,0
https://www.adidas.co.in/ultraboost-20-shoes/EF1043.html,Ultraboost 20 Shoes,Men Performance,9499.5,18999,9499.5,50
https://www.adidas.co.in/handball-spezial-shoes/IH6591.html,HANDBALL SPEZIAL SHOES,Men Originals,10999,10999,0,0
https://www.adidas.co.in/yompzee-flip-flops/KK1702.html,Yompzee Flip Flops,Men Sportswear,1399.5,1999,599.5,29.99
https://www.adidas.co.in/samba-og-shoes/IG1024.html,Samba OG Shoes,Originals,7699.5,10999,3299.5,30
https://www.adidas.co.in/advantage-base-2.0-shoes/IG9183.html,Advantage Base 2.0 Shoes,Men Sportswear,3299.5,6599,3299.5,50
https://www.adidas.co.in/alphaboost-v2-shoes/JH6957.html,Alphaboost V2 Shoes,Men Sportswear,7199.5,11999,4799.5,40
https://www.adidas.co.in/supernova-ease-2-running-shoes/KJ1828.html,SUPERNOVA EASE 2 RUNNING SHOES,Men Performance,6999.5,9999,2999.5,30
https://www.adidas.co.in/vs-pace-2.0-ikd-shoes/KK7330.html,VS Pace 2.0 IKD Shoes,Men Sportswear,2999.5,5999,2999.5,50
https://www.adidas.co.in/sl-72-rs-shoes/JQ9720.html,SL 72 RS SHOES,Men Originals,6999.5,9999,2999.5,30
https://www.adidas.co.in/adilette-lite-slides/FU8298.html,Adilette Lite Slides,Originals,2999,2999,0,0
https://www.adidas.co.in/ultimashow-ikd-shoes/KL1810.html,Ultimashow IKD Shoes,Men Sportswear,2799.5,5599,2799.5,50
https://www.adidas.co.in/sl-72-rs-shoes/JQ9722.html,SL 72 RS SHOES,Men Originals,6999.5,9999,2999.5,30
https://www.adidas.co.in/f50-club-firm-ground-multi-ground-football-boots/JS1472.html,F50 CLUB Firm Ground / Multi Ground Football Boots,Performance,4199.5,5999,1799.5,30
https://www.adidas.co.in/supernova-ease-2-m-running-shoes/JQ5859.html,SUPERNOVA EASE 2 M RUNNING SHOES,Men Performance,4999.5,9999,4999.5,50
https://www.adidas.co.in/excelcourt-shoes/GA1169.html,EXCELCOURT SHOES,Men Sportswear,2799.5,5599,2799.5,50
https://www.adidas.co.in/advantage-base-2.0-shoes/IF4135.html,Advantage Base 2.0 Shoes,Men Sportswear,3299.5,6599,3299.5,50
https://www.adidas.co.in/astrastar-shoes/JP5938.html,Astrastar Shoes,Men Sportswear,7999,7999,0,0
https://www.adidas.co.in/jabbar-lo-shoes/JP8985.html,JABBAR LO Shoes,Originals,6999.5,9999,2999.5,30
https://www.adidas.co.in/streettalk/JP8277.html,Streettalk,Men Sportswear,3299.5,6599,3299.5,50
https://www.adidas.co.in/megaride-s4-shoes/KK3391.html,Megaride S4 Shoes,Originals,14999,14999,0,0
https://www.adidas.co.in/advantage-ikd-shoes/KK7460.html,Advantage IKD Shoes,Men Sportswear,3999.5,7999,3999.5,50
https://www.adidas.co.in/supernova-ease-2-m-running-shoes/JQ4335.html,SUPERNOVA EASE 2 M RUNNING SHOES,Men Performance,4999.5,9999,4999.5,50
https://www.adidas.co.in/lightrun-bold-2-shoes/KI6463.html,Lightrun Bold 2 Shoes,Men Performance,2399.5,4799,2399.5,50
https://www.adidas.co.in/air-glowrun-shoes/JK3801.html,Air-GlowRun Shoes,Men Performance,1999.5,3999,1999.5,50
https://www.adidas.co.in/adidas-feroza-audi-revolut-f1-team-shoes/KJ6176.html,ADIDAS FEROZA AUDI REVOLUT F1 TEAM SHOES,Performance,8399.5,11999,3599.5,30
https://www.adidas.co.in/adidas-initiation-shoes/JQ6858.html,Adidas Initiation Shoes,Performance,7999,7999,0,0
https://www.adidas.co.in/questcrest-shoes/JK7778.html,Questcrest Shoes,Men TERREX,2299.5,4599,2299.5,50
https://www.adidas.co.in/adilette-comfort-audi-revolut-f1-team-slides/KI6084.html,ADILETTE COMFORT AUDI REVOLUT F1 TEAM SLIDES,Performance,5599,5599,0,0
https://www.adidas.co.in/ozweego-shoes/JI2641.html,OZWEEGO Shoes,Men Originals,7799.5,12999,5199.5,40
https://www.adidas.co.in/aeroechozest-2-shoes/KJ6779.html,AeroEchoZest 2 Shoes,Men Performance,2399.5,4799,2399.5,50
https://www.adidas.co.in/base-switch-2-shoes/KJ9157.html,Base Switch 2 Shoes,Men Performance,1999.5,3999,1999.5,50
https://www.adidas.co.in/supernova-ease-2-running-shoes/KI5032.html,SUPERNOVA EASE 2 RUNNING SHOES,Men Performance,9999,9999,0,0
https://www.adidas.co.in/core-linear-eezay-2019-slippers/EY3120.html,CORE LINEAR EEZAY 2019 SLIPPERS,Men Sportswear,1199.5,1999,799.5,39.99
https://www.adidas.co.in/supernova-rise-3-running-shoes/JP8689.html,SUPERNOVA RISE 3 RUNNING SHOES,Men Performance,7499.5,14999,7499.5,50
https://www.adidas.co.in/sport-inspired-throb-shoes/CM4882.html,SPORT INSPIRED THROB SHOES,Men Performance,1799.5,3599,1799.5,50
https://www.adidas.co.in/ownthegame-3.0-shoes/JR6673.html,Ownthegame 3.0 Shoes,Men Performance,6599,6599,0,0
https://www.adidas.co.in/excelcourt-shoes/GA1168.html,EXCELCOURT SHOES,Men Sportswear,2799.5,5599,2799.5,50
https://www.adidas.co.in/ownthegame-3.0-shoes/JS2171.html,Ownthegame 3.0 Shoes,Men Performance,4619.5,6599,1979.5,30
https://www.adidas.co.in/advantage-ikd-shoes/KK7472.html,Advantage IKD Shoes,Men Sportswear,3999.5,7999,3999.5,50
https://www.adidas.co.in/duramo-sl-shoes/IF9486.html,Duramo SL Shoes,Men Performance,3499.5,6999,3499.5,50
https://www.adidas.co.in/supernova-rise-3-mercedes-amg-petronas-f1-team-shoes/KJ3671.html,SUPERNOVA RISE 3 MERCEDES AMG PETRONAS F1 TEAM Shoes,Men Performance,11199.5,15999,4799.5,30
https://www.adidas.co.in/master-glide-shoes/GB2494.html,MASTER GLIDE SHOES,Men Performance,2299.5,4599,2299.5,50
https://www.adidas.co.in/basic-run-lines-shoes/JK7174.html,Basic Run-Lines Shoes,Men Performance,1999.5,3999,1999.5,50
https://www.adidas.co.in/coset-ii-slippers/EW2178.html,COSET II SLIPPERS,Men Sportswear,999.5,1999,999.5,50
https://www.adidas.co.in/vl-court-3.0-shoes/JR8638.html,VL Court 3.0 Shoes,Men Sportswear,4199.5,6999,2799.5,40
https://www.adidas.co.in/cush-app-shoes/JK8258.html,Cush-App Shoes,Men Sportswear,1799.5,3599,1799.5,50
https://www.adidas.co.in/aeroechozest-2-shoes/KJ6780.html,AeroEchoZest 2 Shoes,Men Performance,2399.5,4799,2399.5,50
https://www.adidas.co.in/aero-turbo-thrive-shoes/KJ6782.html,Aero Turbo Thrive Shoes,Men Performance,2649.5,5299,2649.5,50
https://www.adidas.co.in/runfalcon-5-running-shoes/JQ6977.html,Runfalcon 5 Running Shoes,Men Performance,4619.5,6599,1979.5,30
https://www.adidas.co.in/vs-pace-2.0-ikd-shoes/KK7329.html,VS Pace 2.0 IKD Shoes,Men Sportswear,2999.5,5999,2999.5,50
https://www.adidas.co.in/f50-league-firm-ground-multi-ground-football-boots/JR8992.html,F50 League Firm Ground / Multi Ground Football Boots,Performance,8999,8999,0,0
https://www.adidas.co.in/flaze-mode-shoes/KJ9233.html,Flaze Mode Shoes,Men Performance,2499.5,4999,2499.5,50
https://www.adidas.co.in/basenew-2-shoes/KJ9135.html,Basenew 2 Shoes,Men Performance,2149.5,4299,2149.5,50
https://www.adidas.co.in/runfalcon-5-running-shoes/IE8812.html,Runfalcon 5 Running Shoes,Men Performance,6599,6599,0,0
https://www.adidas.co.in/adilette-comfort-audi-revolut-f1-team-slides/KI6083.html,ADILETTE COMFORT AUDI REVOLUT F1 TEAM SLIDES,Performance,5599,5599,0,0
https://www.adidas.co.in/streetahead-shoes/GC0649.html,STREETAHEAD SHOES,Men Sportswear,1799.5,3599,1799.5,50
https://www.adidas.co.in/aero-turbo-thrive-shoes/KJ6784.html,Aero Turbo Thrive Shoes,Men Performance,2649.5,5299,2649.5,50
https://www.adidas.co.in/adilette-slides/280648.html,ADILETTE SLIDES,Men Originals,3999,3999,0,0
https://www.adidas.co.in/base-velocity-shoes/KJ6768.html,Base Velocity Shoes,Men Performance,1999.5,3999,1999.5,50
https://www.adidas.co.in/samba-og-shoes/IH4384.html,SAMBA OG SHOES,Men Originals,7699.5,10999,3299.5,30
https://www.adidas.co.in/aero-surge-stride-shoes/KJ9207.html,Aero Surge Stride Shoes,Men Performance,2399.5,4799,2399.5,50
https://www.adidas.co.in/aeropulsepace-shoes/JK7563.html,AeroPulsePace Shoes,Performance,2299.5,4599,2299.5,50
https://www.adidas.co.in/aero-surge-stride-shoes/KJ9206.html,Aero Surge Stride Shoes,Men Performance,2399.5,4799,2399.5,50
https://www.adidas.co.in/aero-surge-stride-shoes/KJ9208.html,Aero Surge Stride Shoes,Men Performance,2399.5,4799,2399.5,50
https://www.adidas.co.in/cush-up-shoes/JK8191.html,Cush-Up Shoes,Men Sportswear,1899.5,3799,1899.5,50
https://www.adidas.co.in/outlazz-sneakers/JK8262.html,Outlazz Sneakers,Men Sportswear,3299.5,6599,3299.5,50
https://www.adidas.co.in/base-x-m-shoes/JK7154.html,Base X M Shoes,Men Performance,1799.5,3599,1799.5,50
https://www.adidas.co.in/base-switch-2-shoes/KJ9155.html,Base Switch 2 Shoes,Men Performance,1999.5,3999,1999.5,50
https://www.adidas.co.in/aerosurgestride-shoes/JK7777.html,AeroSurgeStride Shoes,Men TERREX,2299.5,4599,2299.5,50
https://www.adidas.co.in/adizero-evo-sl-exo-shoes/KI4764.html,ADIZERO EVO SL EXO Shoes,Men Performance,15999,15999,0,0
https://www.adidas.co.in/aero-turbo-thrive-shoes/KJ6783.html,Aero Turbo Thrive Shoes,Men Performance,2649.5,5299,2649.5,50
https://www.adidas.co.in/infynyte-run-shoes/JK8259.html,Infynyte Run Shoes,Men Sportswear,1799.5,3599,1799.5,50
https://www.adidas.co.in/questcrest-shoes/JK8189.html,Questcrest Shoes,Men Sportswear,1899.5,3799,1899.5,50
https://www.adidas.co.in/cloudfoam-comfy-le-shoes/JL4518.html,Cloudfoam Comfy LE Shoes,Men Sportswear,1799.5,3599,1799.5,50
https://www.adidas.co.in/f50-league-firm-ground-multi-ground-football-boots/JR8989.html,F50 LEAGUE Firm Ground / Multi Ground Football Boots,Performance,8999,8999,0,0
https://www.adidas.co.in/zap-run-2-shoes/KI6441.html,Zap-Run 2 Shoes,Men Performance,2499.5,4999,2499.5,50
https://www.adidas.co.in/adilette-comfort-2.0-slides/HQ2476.html,ADILETTE COMFORT 2.0 SLIDES,Sportswear,2499.5,4999,2499.5,50
https://www.adidas.co.in/flair-tonic-shoes/KJ9229.html,Flair-Tonic Shoes,Men Performance,2649.5,5299,2649.5,50
https://www.adidas.co.in/tokyo-shoes/JQ0597.html,Tokyo Shoes,Originals,9999,9999,0,0
https://www.adidas.co.in/90s-cut-flux-shoes/JK2107.html,90S Cut Flux Shoes,Men Sportswear,3299.5,6599,3299.5,50
https://www.adidas.co.in/adidas-feroza-base-audi-revolut-f1-team-shoes/KJ6178.html,ADIDAS FEROZA BASE AUDI REVOLUT F1 TEAM SHOES,Performance,6299.5,8999,2699.5,30
https://www.adidas.co.in/aeroechozest-2-shoes/KJ6781.html,AeroEchoZest 2 Shoes,Men Performance,2399.5,4799,2399.5,50
https://www.adidas.co.in/base-switch-2-shoes/KJ9156.html,Base Switch 2 Shoes,Men Performance,1999.5,3999,1999.5,50
https://www.adidas.co.in/heather-low-shoes/JK8287.html,Heather Low Shoes,Sportswear,2399.5,4799,2399.5,50
https://www.adidas.co.in/vs-pace-2.0-shoes/IH4230.html,VS Pace 2.0 Shoes,Men Sportswear,2999.5,5999,2999.5,50
